日期,觀測休止時間(UTC),全球觀測(F.D.),區域觀測(Reg),項目,備註
5月22日,20:50 UTC(P125),X,O,放射計太陽校正,
5月22日,00:40 UTC(P004),X,O,東西軌道控制,
5月21日,12:40 UTC(P076),X,O,東西軌道控制,
5月18日,16:40 UTC(P100),X,O,南北軌道控制,
5月8日,07:50 UTC(P047),X,O,東西軌道控制,
5月7日,20:50 UTC(P125),X,O,放射計太陽校正,
5月7日,19:50 UTC(P119),X,O,東西軌道控制,
5月4日,17:40 UTC(P106),X,O,南北軌道控制,
5月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
5月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
4月23日,18:20 UTC(P110),X,O,東西軌道控制,
4月23日,06:20 UTC(P038),X,O,東西軌道控制,
4月22日,20:30 UTC(P123) 20:50 UTC(P125),X,O,放射計太陽校正,4/16訂正
4月20日,18:20 UTC(P110),X,O,南北軌道控制,
4月10日,06:50 UTC(P041),X,O,東西軌道控制,
4月9日,18:50 UTC(P113),X,O,東西軌道控制,
4月7日,20:50 UTC(P125),X,O,放射計太陽校正,
4月6日,19:20 UTC(P116),X,O,南北軌道控制,
4月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
4月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
3月27日,09:10 UTC(P055),X,O,東西軌道控制,
3月26日,21:10 UTC(P127),X,O,東西軌道控制,
3月23日,20:10 UTC(P121),X,O,南北軌道控制,
3月22日,20:50 UTC(P125),X,O,放射計太陽校正,
3月13日,07:40 UTC(P046),X,O,東西軌道控制,
3月12日,19:40 UTC(P118),X,O,東西軌道控制,
3月9日,21:10 UTC(P127),X,O,南北軌道控制,
3月7日,21:10 UTC(P127),X,O,放射計太陽校正,
3月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
3月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
2月26日,19:50 UTC(P119),X,O,東西軌道控制,
2月26日,07:50 UTC(P047),X,O,東西軌道控制,
2月23日,22:10 UTC(P133),X,O,南北軌道控制,
2月22日,21:10 UTC(P127),X,O,放射計太陽校正,
2月12日,22:10 UTC(P133),X,O,東西軌道控制,
2月12日,10:10 UTC(P061),X,O,東西軌道控制,
2月9日,23:10 UTC(P139),X,O,南北軌道控制,
2月7日,21:10 UTC(P127),X,O,放射計太陽校正,
2月1日～28日,02:50 UTC(P017),X,O,衛星例行維護,
2月1日～28日,14:50 UTC(P089),X,O,衛星例行維護,
1月30日,10:50 UTC(P065),X,O,東西軌道控制,
1月29日,22:50 UTC(P137),X,O,東西軌道控制,
1月26日,00:10 UTC(P001),X,O,南北軌道控制,
1月22日,21:10 UTC(P127),X,O,放射計太陽校正,
1月16日,00:50 UTC(P005),X,O,東西軌道控制,
1月15日,12:50 UTC(P077),X,O,東西軌道控制,
1月12日,01:10 UTC(P007),X,O,南北軌道控制,
1月7日,20:50 UTC(P125),X,O,放射計太陽校正,
1月2日,08:10 UTC(P049),X,O,東西軌道控制,
1月1日,20:10 UTC(P121),X,O,東西軌道控制,
1月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
1月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
12月29日,01:50 UTC(P011),X,O,南北軌道控制,
12月22日,20:50 UTC(P125),X,O,放射計太陽校正,
12月19日,08:10 UTC(P049),X,O,東西軌道控制,
12月18日,20:10 UTC(P121),X,O,東西軌道控制,
12月15日,02:50 UTC(P017),X,O,南北軌道控制,
12月7日,20:40 UTC(P124),X,O,放射計太陽校正,
12月5日,08:40 UTC(P052),X,O,東西軌道控制,
12月4日,20:40 UTC(P124),X,O,東西軌道控制,
12月1日,03:50 UTC(P023),X,O,南北軌道控制,
12月1日～31日 1、15、29日を除く,02:50 UTC(P017),X,O,衛星例行維護,
12月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
11月27日～30日,02:50 UTC(P017),X,O,衛星例行維護,
11月26日～30日,14:50 UTC(P089),X,O,衛星例行維護,
10月10日,08:50 UTC(P053),X,O,東西軌道控制,
10月9日,20:50 UTC(P125),X,O,東西軌道控制,
10月7日,20:40 UTC(P124),X,O,放射計太陽校正,
10月6日,07:40 UTC(P046),X,O,南北軌道控制,
10月1日～19日,02:50 UTC(P017),X,O,衛星例行維護,
10月1日～19日,14:50 UTC(P089),X,O,衛星例行維護,
9月26日,08:50 UTC(P053),X,O,東西軌道控制,
9月25日,20:50 UTC(P125),X,O,東西軌道控制,
9月22日,20:40 UTC(P124),X,O,放射計太陽校正,
9月22日,08:40 UTC(P052),X,O,南北軌道控制,
9月12日,10:10 UTC(P061),X,O,東西軌道控制,
9月11日,22:10 UTC(P133),X,O,東西軌道控制,
9月8日,09:40 UTC(P058),X,O,南北軌道控制,
9月7日,20:50 UTC(P125),X,O,放射計太陽校正,
9月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
9月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
8月28日,19:10 UTC(P115),X,O,東西軌道控制,
8月28日,07:10 UTC(P043),X,O,東西軌道控制,
8月25日,10:40 UTC(P064),X,O,南北軌道控制,
8月22日,20:50 UTC(P125),X,O,放射計太陽校正,
8月15日,08:40 UTC(P052),X,O,東西軌道控制,
8月14日,20:40 UTC(P124),X,O,東西軌道控制,
8月11日,11:20 UTC(P068),X,O,南北軌道控制,
8月4日,14:50 UTC(P089),X,O,東西軌道控制,8/4追加
8月7日,20:50 UTC(P125),X,O,放射計太陽校正,
8月1日,10:40 UTC(P064),X,O,東西軌道控制,
8月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
8月1日～31日 4日を除く,14:50 UTC(P089),X,O,衛星例行維護,
7月31日,22:40 UTC(P136),X,O,東西軌道控制,
7月28日,12:20 UTC(P074),X,O,南北軌道控制,
7月22日,20:50 UTC(P125),X,O,放射計太陽校正,
7月18日,04:10 UTC(P025),X,O,東西軌道控制,
7月17日,16:10 UTC(P097),X,O,東西軌道控制,
7月14日,13:40 UTC(P082),X,O,南北軌道控制,
7月7日,20:50 UTC(P125),X,O,放射計太陽校正,
7月3日,19:50 UTC(P119),X,O,東西軌道控制,
7月3日,07:50 UTC(P047),X,O,東西軌道控制,
7月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
7月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
6月30日,14:20 UTC(P086),X,O,南北軌道控制,
6月22日,20:50 UTC(P125),X,O,放射計太陽校正,
6月20日,06:40 UTC(P040),X,O,東西軌道控制,
6月19日,18:40 UTC(P112),X,O,東西軌道控制,
6月16日,15:10 UTC(P091),X,O,南北軌道控制,
6月7日,20:50 UTC(P125),X,O,放射計太陽校正,
6月6日,07:20 UTC(P044),X,O,東西軌道控制,
6月5日,19:20 UTC(P116),X,O,東西軌道控制,
6月2日,16:10 UTC(P097),X,O,南北軌道控制,
6月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
6月1日～30日 16、30日を除く,14:50 UTC(P089),X,O,衛星例行維護,
5月22日,22:10 UTC(P133),X,O,東西軌道控制,
5月22日,20:50 UTC(P125),X,O,放射計太陽校正,
5月22日,10:10 UTC(P061),X,O,東西軌道控制,
5月19日,16:50 UTC(P101),X,O,南北軌道控制,
5月9日,07:40 UTC(P046),X,O,東西軌道控制,
5月8日,19:40 UTC(P118),X,O,東西軌道控制,
5月7日,20:50 UTC(P125),X,O,放射計太陽校正,
5月5日,17:50 UTC(P107),X,O,南北軌道控制,
5月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
5月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
4月24日,20:20 UTC(P122),X,O,東西軌道控制,
4月24日,08:20 UTC(P050),X,O,東西軌道控制,
4月22日,20:50 UTC(P125),X,O,放射計太陽校正,
4月21日,17:50 UTC(P107),X,O,南北軌道控制,
4月14日,14:50 UTC(P089),X,O,東西軌道控制,
4月21日,04:10 - 04:40 UTC(P025 - P028),X,衛星保守作業,,
4月17日,02:50 UTC(P017),X,衛星保守作業,,
4月11日,08:50 UTC(P053),X,O,東西軌道控制,
4月10日,20:50 UTC(P125),X,O,東西軌道控制,
4月7日,20:50 UTC(P125),X,O,放射計太陽校正,
4月7日,19:50 UTC(P119),X,O,南北軌道控制,
4月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
4月1日～30日 14日を除く,14:50 UTC(P089),X,O,衛星例行維護,
3月27日,23:40 UTC(P142),X,O,東西軌道控制,
3月27日,11:40 UTC(P070),X,O,東西軌道控制,
3月24日,20:40 UTC(P124),X,O,南北軌道控制,
3月22日,20:50 UTC(P125),X,O,放射計太陽校正,
3月14日,07:50 UTC(P047),X,O,東西軌道控制,
3月13日,19:50 UTC(P119),X,O,東西軌道控制,
3月10日,21:40 UTC(P130),X,O,南北軌道控制,
3月10日,15:10 - 16:20 UTC(P091 - P098),X,衛星保守作業,,
3月7日,21:10 UTC(P127),X,O,放射計太陽校正,
3月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
3月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
2月28日,09:50 UTC(P059),X,O,東西軌道控制,
2月27日,21:50 UTC(P131),X,O,東西軌道控制,
2月24日,22:40 UTC(P136),X,O,南北軌道控制,
2月22日,21:10 UTC(P127),X,O,放射計太陽校正,
2月14日,07:10 UTC(P043),X,O,東西軌道控制,
2月13日,19:10 UTC(P115),X,O,東西軌道控制,
2月10日,23:40 UTC(P142),X,O,南北軌道控制,
2月7日,21:10 UTC(P127),X,O,放射計太陽校正,
2月1日～28日,02:50 UTC(P017),X,O,衛星例行維護,
2月1日～28日,14:50 UTC(P089),X,O,衛星例行維護,
1月31日,07:20 UTC(P044),X,O,東西軌道控制,
1月30日,19:20 UTC(P116),X,O,東西軌道控制,
1月27日,00:20 UTC(P002),X,O,南北軌道控制,
1月22日,21:10 UTC(P127),X,O,放射計太陽校正,
1月21日,15:10 - 16:20 UTC(P091 - P098),X,衛星保守作業,,
1月17日,07:40 UTC(P046),X,O,東西軌道控制,
1月16日,19:40 UTC(P118),X,O,東西軌道控制,
1月13日,01:20 UTC(P008),X,O,南北軌道控制,
1月7日,20:50 UTC(P125),X,O,放射計太陽校正,
1月3日,09:10 UTC(P055),X,O,東西軌道控制,
1月2日,21:10 UTC(P127),X,O,東西軌道控制,
1月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
1月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
12月30日,02:10 UTC(P013),X,O,南北軌道控制,
12月22日,20:50 UTC(P125),X,O,放射計太陽校正,
12月20日,11:40 UTC(P070),X,O,東西軌道控制,
12月19日,23:40 UTC(P142),X,O,東西軌道控制,
12月16日,03:10 UTC(P019),X,O,南北軌道控制,
12月7日,20:40 UTC(P124),X,O,放射計太陽校正,
12月6日,04:50 UTC(P029),X,O,東西軌道控制,
12月5日,16:50 UTC(P101),X,O,東西軌道控制,
12月2日,03:50 UTC(P023),X,O,南北軌道控制,
12月1日～31日 2、16、30日を除く,02:50 UTC(P017),X,O,衛星例行維護,
12月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
11月22日,20:40 UTC(P124),X,O,放射計太陽校正,
11月21日,22:40 UTC(P136),X,O,東西軌道控制,
11月21日,10:40 UTC(P064),X,O,東西軌道控制,
11月18日,06:40 UTC(P040),X,O,南北軌道控制,
11月8日,07:10 UTC(P043),X,O,東西軌道控制,
11月7日,20:40 UTC(P124),X,O,放射計太陽校正,
11月7日,19:10 UTC(P115),X,O,東西軌道控制,
11月4日,05:40 UTC(P034),X,O,南北軌道控制,
11月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
11月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
10月25日,09:50 UTC(P059),X,O,東西軌道控制,
10月24日,21:50 UTC(P131),X,O,東西軌道控制,
10月22日,20:40 UTC(P124),X,O,放射計太陽校正,
10月21日,06:40 UTC(P040),X,O,南北軌道控制,
10月11日,08:10 UTC(P049),X,O,東西軌道控制,
10月10日,20:10 UTC(P121),X,O,東西軌道控制,
10月7日,20:40 UTC(P124),X,O,放射計太陽校正,
10月7日,07:20 UTC(P044),X,O,南北軌道控制,
10月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
10月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
9月27日,09:10 UTC(P055),X,O,東西軌道控制,
9月26日,21:10 UTC(P127),X,O,東西軌道控制,
9月23日,08:20 UTC(P050),X,O,南北軌道控制,
9月22日,20:40 UTC(P124),X,O,放射計太陽校正,
9月13日,10:10 UTC(P061),X,O,東西軌道控制,
9月12日,22:10 UTC(P133),X,O,東西軌道控制,
9月9日,08:10 UTC(P049),X,O,南北軌道控制,
9月7日,20:50 UTC(P125),X,O,放射計太陽校正,
9月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
9月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
8月29日,19:10 UTC(P115),X,O,東西軌道控制,
8月29日,07:10 UTC(P043),X,O,東西軌道控制,
8月26日,10:20 UTC(P062),X,O,南北軌道控制,
8月22日,20:50 UTC(P125),X,O,放射計太陽校正,
8月16日,09:10 UTC(P055),X,O,東西軌道控制,
8月15日,21:10 UTC(P127),X,O,東西軌道控制,
8月12日,11:20 UTC(P068),X,O,南北軌道控制,
8月7日,20:50 UTC(P125),X,O,放射計太陽校正,
8月2日,00:10 UTC(P001),X,O,東西軌道控制,
8月1日,12:10 UTC(P073),X,O,東西軌道控制,
8月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
8月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
7月29日,12:10 UTC(P073),X,O,南北軌道控制,
7月22日,20:50 UTC(P125),X,O,放射計太陽校正,
7月19日,07:50 UTC(P047),X,O,東西軌道控制,
7月18日,19:50 UTC(P119),X,O,東西軌道控制,
7月15日,13:10 UTC(P079),X,O,南北軌道控制,
7月7日,20:50 UTC(P125),X,O,放射計太陽校正,
7月5日,10:40 UTC(P064),X,O,東西軌道控制,
7月4日,22:40 UTC(P136),X,O,東西軌道控制,
7月1日,14:10 UTC(P085),X,O,南北軌道控制,
7月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
7月1日～31日 1日を除く,14:50 UTC(P089),X,O,衛星例行維護,
6月22日,20:50 UTC(P125),X,O,放射計太陽校正,
6月21日,07:40 UTC(P046),X,O,東西軌道控制,
6月20日,19:40 UTC(P118),X,O,東西軌道控制,
6月17日,14:50 UTC(P089),X,O,南北軌道控制,
6月7日,20:50 UTC(P125),X,O,放射計太陽校正,
6月6日,21:20 UTC(P128),X,O,東西軌道控制,
6月6日,09:20 UTC(P056),X,O,東西軌道控制,
6月3日,15:50 UTC(P095),X,O,南北軌道控制,
6月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
6月1日～30日 3、17日を除く,14:50 UTC(P089),X,O,衛星例行維護,
5月24日,00:40 UTC(P004),X,O,東西軌道控制,
5月23日,12:40 UTC(P076),X,O,東西軌道控制,
5月22日,20:50 UTC(P125),X,O,放射計太陽校正,
5月20日,16:50 UTC(P101),X,O,南北軌道控制,
5月16日,02:50 UTC(P017),X,O,東西軌道控制,
5月9日,22:20 UTC(P134),X,O,東西軌道控制,
5月9日,10:20 UTC(P062),X,O,東西軌道控制,
5月9日,04:10 - 04:40 UTC(P025 - P028),X,衛星保守作業,,
5月7日,20:50 UTC(P125),X,O,放射計太陽校正,
5月7日,02:50 UTC(P017),X,衛星保守作業,,
5月6日,16:40 UTC(P100),X,O,南北軌道控制,
5月1日～31日 16日を除く,02:50 UTC(P017),X,O,衛星例行維護,
5月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
4月26日,09:50 UTC(P059),X,O,東西軌道控制,
4月25日,21:50 UTC(P131),X,O,東西軌道控制,
4月22日,20:50 UTC(P125),X,O,放射計太陽校正,
4月22日,18:40 UTC(P112),X,O,南北軌道控制,
4月12日,05:40 UTC(P034),X,O,東西軌道控制,
4月11日,17:40 UTC(P106),X,O,東西軌道控制,
4月8日,19:40 UTC(P118),X,O,南北軌道控制,
4月7日,20:50 UTC(P125),X,O,放射計太陽校正,
4月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
4月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
3月29日,08:20 UTC(P050),X,O,東西軌道控制,
3月28日,20:20 UTC(P122),X,O,東西軌道控制,
3月25日,20:40 UTC(P124),X,O,南北軌道控制,
3月22日,20:50 UTC(P125),X,O,放射計太陽校正,
3月15日,08:50 UTC(P053),X,O,東西軌道控制,
3月14日,20:50 UTC(P125),X,O,東西軌道控制,
3月11日,21:40 UTC(P130),X,O,南北軌道控制,
3月7日,21:10 UTC(P127),X,O,放射計太陽校正,
3月1日,11:10 UTC(P067),X,O,東西軌道控制,
3月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
3月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
2月29日,23:10 UTC(P139),X,O,東西軌道控制,
2月26日,22:40 UTC(P136),X,O,南北軌道控制,
2月22日,21:10 UTC(P127),X,O,放射計太陽校正,
2月16日,08:10 UTC(P049),X,O,東西軌道控制,
2月15日,20:10 UTC(P121),X,O,東西軌道控制,
2月12日,23:40 UTC(P142),X,O,南北軌道控制,
2月7日,21:10 UTC(P127),X,O,放射計太陽校正,
2月2日,11:50 UTC(P071),X,O,東西軌道控制,
2月1日,23:50 UTC(P143),X,O,東西軌道控制,
2月1日～29日,02:50 UTC(P017),X,O,衛星例行維護,
2月1日～29日,14:50 UTC(P089),X,O,衛星例行維護,
1月29日,00:40 UTC(P004),X,O,南北軌道控制,
1月22日,21:10 UTC(P127),X,O,放射計太陽校正,
1月19日,08:40 UTC(P052),X,O,東西軌道控制,
1月18日,20:40 UTC(P124),X,O,東西軌道控制,
1月15日,01:40 UTC(P010),X,O,南北軌道控制,
1月7日,20:50 UTC(P125),X,O,放射計太陽校正,
1月5日,08:10 UTC(P049),X,O,東西軌道控制,
1月4日,20:10 UTC(P121),X,O,東西軌道控制,
1月1日,02:20 UTC(P014),X,O,南北軌道控制,
1月1日～31日 1日を除く,02:50 UTC(P017),X,O,衛星例行維護,
1月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
12月22日,20:50 UTC(P125),X,O,放射計太陽校正,
12月22日,06:40 UTC(P040),X,O,東西軌道控制,
12月21日,18:40 UTC(P112),X,O,東西軌道控制,
12月18日,02:10 UTC(P013),X,O,南北軌道控制,
12月8日,11:50 UTC(P071),X,O,東西軌道控制,
12月7日,23:50 UTC(P143),X,O,東西軌道控制,
12月7日,20:40 UTC(P124),X,O,放射計太陽校正,
12月7日,04:10 - 04:40 UTC(P025 - P028),X,衛星保守作業,,
12月5日,15:10 - 16:20 UTC(P091 - P098),X,衛星保守作業,,
12月5日,02:50 UTC(P017),X,衛星保守作業,,
12月4日,04:10 UTC(P025),X,O,南北軌道控制,
12月1日～31日 18日を除く,02:50 UTC(P017),X,O,衛星例行維護,
12月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
11月27日,14:50 UTC(P089),X,O,東西軌道控制,11/27追加
11月24日,09:50 UTC(P059),X,O,東西軌道控制,
11月23日,21:50 UTC(P131),X,O,東西軌道控制,
11月22日,20:40 UTC(P124),X,O,放射計太陽校正,
11月20日,05:10 UTC(P031),X,O,南北軌道控制,
11月10日,10:50 UTC(P065),X,O,東西軌道控制,
11月9日,22:50 UTC(P137),X,O,東西軌道控制,
11月7日,20:40 UTC(P124),X,O,放射計太陽校正,
11月6日,06:10 UTC(P037),X,O,南北軌道控制,
11月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
11月1日～30日 27日を除く,14:50 UTC(P089),X,O,衛星例行維護,
10月27日,10:40 UTC(P064),X,O,東西軌道控制,
10月26日,22:40 UTC(P136),X,O,東西軌道控制,
10月23日,07:10 UTC(P043),X,O,南北軌道控制,
10月22日,20:40 UTC(P124),X,O,放射計太陽校正,
10月19日,14:50 UTC(P089),X,O,東西軌道控制,10/16追加
10月17日,02:50 UTC(P017),X,O,東西軌道控制,10/16追加
10月13日,01:10 UTC(P007),X,O,東西軌道控制,
10月12日,13:10 UTC(P079),X,O,東西軌道控制,
10月9日,07:50 UTC(P047),X,O,南北軌道控制,
10月7日,20:40 UTC(P124),X,O,放射計太陽校正,
10月1日～31日 17日を除く,02:50 UTC(P017),X,O,衛星例行維護,
10月1日～31日 19日を除く,14:50 UTC(P089),X,O,衛星例行維護,
9月29日,11:40 UTC(P070),X,O,東西軌道控制,
9月28日,23:40 UTC(P142),X,O,東西軌道控制,
9月25日,08:50 UTC(P053),X,O,南北軌道控制,
9月22日,20:40 UTC(P124),X,O,放射計太陽校正,
9月15日,07:10 UTC(P043),X,O,東西軌道控制,
9月14日,19:10 UTC(P115),X,O,東西軌道控制,
9月11日,09:50 UTC(P059),X,O,南北軌道控制,
9月7日,20:50 UTC(P125),X,O,放射計太陽校正,
9月1日,08:40 UTC(P052),X,O,東西軌道控制,
9月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
9月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
8月31日,20:40 UTC(P124),X,O,東西軌道控制,
8月28日,10:40 UTC(P064),X,O,南北軌道控制,
8月22日,20:50 UTC(P125),X,O,放射計太陽校正,
8月17日,20:10 UTC(P121),X,O,東西軌道控制,
8月17日,08:10 UTC(P049),X,O,東西軌道控制,
8月14日,11:40 UTC(P070),X,O,南北軌道控制,
8月7日,20:50 UTC(P125),X,O,放射計太陽校正,
8月4日,09:40 UTC(P058),X,O,東西軌道控制,
8月3日,21:40 UTC(P130),X,O,東西軌道控制,
8月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
8月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
7月31日,12:20 UTC(P074),X,O,南北軌道控制,
7月22日,20:50 UTC(P125),X,O,放射計太陽校正,
7月21日,08:50 UTC(P053),X,O,東西軌道控制,
7月20日,20:50 UTC(P125),X,O,東西軌道控制,
7月17日,13:20 UTC(P080),X,O,南北軌道控制,
7月7日,20:50 UTC(P125),X,O,放射計太陽校正,
7月7日,04:50 UTC(P029),X,O,東西軌道控制,
7月6日,16:50 UTC(P101),X,O,東西軌道控制,
7月3日,14:20 UTC(P086),X,O,南北軌道控制,
7月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
7月1日～31日 3日を除く,14:50 UTC(P089),X,O,衛星例行維護,
6月23日,07:10 UTC(P043),X,O,東西軌道控制,
6月22日,20:50 UTC(P125),X,O,放射計太陽校正,
6月22日,19:10 UTC(P115),X,O,東西軌道控制,
6月19日,15:10 UTC(P091),X,O,南北軌道控制,
6月8日,21:20 UTC(P128),X,O,東西軌道控制,
6月8日,09:20 UTC(P056),X,O,東西軌道控制,
6月7日,20:50 UTC(P125),X,O,放射計太陽校正,
6月5日,16:10 UTC(P097),X,O,南北軌道控制,
6月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
6月1日～30日 19日を除く,14:50 UTC(P089),X,O,衛星例行維護,
5月26日,04:20 UTC(P026),X,O,東西軌道控制,
5月25日,16:20 UTC(P098),X,O,東西軌道控制,
5月22日,20:50 UTC(P125),X,O,放射計太陽校正,
5月22日,16:50 UTC(P101),X,O,南北軌道控制,
5月12日,11:40 UTC(P070),X,O,東西軌道控制,
5月11日,23:40 UTC(P142),X,O,東西軌道控制,
5月8日,17:50 UTC(P107),X,O,南北軌道控制,
5月7日,20:50 UTC(P125),X,O,放射計太陽校正,
5月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
5月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
4月28日,06:40 UTC(P040),X,O,東西軌道控制,
4月27日,18:40 UTC(P112),X,O,東西軌道控制,
4月24日,18:40 UTC(P112),X,O,南北軌道控制,
4月22日,20:50 UTC(P125),X,O,放射計太陽校正,
4月14日,09:10 UTC(P055),X,O,東西軌道控制,
4月13日,21:10 UTC(P127),X,O,東西軌道控制,
4月10日,19:40 UTC(P118),X,O,南北軌道控制,
4月7日,20:50 UTC(P125),X,O,放射計太陽校正,
4月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
4月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
3月30日 3月31日,21:50 UTC(P131) 02:50(P017),X,O,東西軌道控制,3/29変更
3月30日,09:50 UTC(P059) 14:50(P089),X,O,東西軌道控制,3/29変更
3月27日,20:40 UTC(P124),X,O,南北軌道控制,
3月23日,02:50 UTC(P017),X,O,東西軌道控制,3/20追加
3月22日,20:50 UTC(P125),X,O,放射計太陽校正,
3月17日,07:50 UTC(P047),X,O,東西軌道控制,
3月16日,19:50 UTC(P119),X,O,東西軌道控制,
3月13日,21:20 UTC(P128),X,O,南北軌道控制,
3月9日,02:50 UTC(P017),X,O,東西軌道控制,3/7追加
3月7日,21:10 UTC(P127),X,O,放射計太陽校正,
3月2日,19:40 UTC(P118),X,O,東西軌道控制,
3月2日,07:40 UTC(P046),X,O,東西軌道控制,
3月1日～31日 9日、23日、31日を除く,02:50 UTC(P017),X,O,衛星例行維護,
3月1日～31日 30日を除く,14:50 UTC(P089),X,O,衛星例行維護,
2月27日,22:20 UTC(P134),X,O,南北軌道控制,
2月22日,21:10 UTC(P127),X,O,放射計太陽校正,
2月16日,20:40 UTC(P124),X,O,東西軌道控制,
2月16日,08:40 UTC(P052),X,O,東西軌道控制,
2月13日,00:20 UTC(P002),X,O,南北軌道控制,
2月7日,21:10 UTC(P127),X,O,放射計太陽校正,
2月2日,18:20 UTC(P110),X,O,東西軌道控制,
2月2日,06:20 UTC(P038),X,O,東西軌道控制,
2月1日～28日,02:50 UTC(P017),X,O,衛星例行維護,
2月1日～28日,14:50 UTC(P089),X,O,衛星例行維護,
1月30日,01:20 UTC(P008),X,O,南北軌道控制,
1月22日,21:10 UTC(P127),X,O,放射計太陽校正,
1月19日,20:50 UTC(P125),X,O,東西軌道控制,
1月19日,08:50 UTC(P053),X,O,東西軌道控制,
1月16日,02:40 UTC(P016),X,O,南北軌道控制,
1月7日,20:50 UTC(P125),X,O,放射計太陽校正,
1月6日,08:50 UTC(P053),X,O,東西軌道控制,
1月5日,20:50 UTC(P125),X,O,東西軌道控制,
1月2日,02:10 UTC(P013),X,O,南北軌道控制,
1月1日～31日 2日、16日を除く,02:50 UTC(P017),X,O,衛星例行維護,
1月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
12月23日,07:10 UTC(P043),X,O,東西軌道控制,
12月22日,20:50 UTC(P125),X,O,放射計太陽校正,
12月22日,19:10 UTC(P115),X,O,東西軌道控制,
12月19日,03:10 UTC(P019),X,O,南北軌道控制,
12月14日～31日 19日を除く,02:50 UTC(P017),X,O,衛星例行維護,
12月13日～31日,14:50 UTC(P089),X,O,衛星例行維護,
